clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c96	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c97	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
c98	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c99	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
c100	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c101	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c102	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c103	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c104	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c105	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c106	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
c107	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c108	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c109	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c110	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c111	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c113	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
c114	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c115	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c116	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c117	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c118	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c119	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c120	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
c121	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c122	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c123	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c124	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
c125	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c126	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c127	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
c128	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c129	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
c130	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c131	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c132	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c133	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c134	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
c135	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
c136	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c137	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c138	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c139	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
c140	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c141	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c142	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c143	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c144	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c145	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c146	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c147	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c148	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c149	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
c150	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
