clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c96	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c97	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c98	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c100	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c101	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c102	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c103	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c104	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c105	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c106	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c107	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
c108	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c109	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38
c110	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
c111	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c112	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
c113	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
c114	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c115	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c116	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c117	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
c118	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
c119	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c120	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c121	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c122	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c123	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35
c124	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c125	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c126	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c127	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c128	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c129	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c130	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c131	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c133	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19
c134	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c135	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c136	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c137	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c138	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c139	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
c140	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c141	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c142	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
c143	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c144	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
c145	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c146	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c147	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34
c148	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c149	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c150	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
