clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c96	6	9	25	13	39	39	36	40	60	44	67	65	69	71	143
c97	6	9	25	34	17	20	40	39	46	61	50	66	70	74	147
c98	6	9	11	14	15	19	36	44	60	47	67	67	66	73	148
c99	6	9	11	34	17	20	48	39	59	61	66	69	71	74	149
c100	6	18	11	34	41	45	21	53	62	62	68	72	71	75	150
c101	8	18	25	34	42	43	20	54	23	63	28	51	72	75	2
c102	6	18	24	13	41	45	21	21	62	26	68	72	73	76	3
c103	6	18	24	13	41	45	53	54	65	63	70	55	74	77	4
c104	6	18	24	13	41	45	49	59	69	65	75	72	75	78	5
c105	8	1	25	34	42	43	52	56	68	70	77	73	76	79	7
