clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c96	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c97	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c100	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c103	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c104	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c106	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c107	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c110	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
c111	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
c112	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c113	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c114	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c115	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c117	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c119	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
c120	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c121	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c122	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c124	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c126	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c128	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c129	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c130	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c133	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c135	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c136	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c138	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c140	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c141	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c143	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c144	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c146	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c147	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c148	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c149	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c150	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
