clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c96	6	14	18	24	29	34	26	25	28	31	35	44	43	72	143
c97	6	14	11	16	29	34	31	30	26	28	32	44	70	72	144
c98	6	14	18	23	29	24	30	28	30	33	36	64	47	72	146
c99	7	14	18	24	20	33	42	42	28	31	35	36	49	48	147
c100	7	14	17	16	28	34	43	43	44	51	56	44	47	72	148
c101	7	14	18	24	29	24	43	43	47	50	59	35	70	48	149
c102	7	14	17	24	20	34	43	43	47	50	59	39	41	72	150
c103	8	15	18	24	29	34	42	44	47	50	59	44	47	73	1
c104	8	15	18	25	29	34	43	42	48	52	59	66	40	53	3
c105	8	15	19	12	29	35	28	43	47	51	58	65	43	73	4
c106	8	15	19	25	30	18	44	44	48	50	60	65	47	73	6
c107	8	15	19	25	15	35	44	45	49	52	61	65	71	72	7
c108	8	15	19	23	30	35	43	45	50	53	59	66	69	46	9
