clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c96	8	18	24	1	1	39	79	49	58	62	70	77	82	87	96
c97	8	18	24	1	34	1	80	50	59	63	70	78	83	88	97
c98	8	17	23	29	2	1	80	50	59	63	71	78	83	89	98
c99	3	17	24	1	35	39	80	51	60	64	71	79	84	90	99
c100	3	17	23	30	37	3	80	52	61	65	72	80	85	91	100
c101	3	17	25	31	37	43	81	53	62	66	73	81	86	92	101
c102	3	6	25	31	37	43	81	54	63	67	74	82	87	93	102
c103	3	6	25	31	35	42	82	55	64	68	75	83	88	94	103
c104	3	20	25	30	36	43	82	55	64	68	76	84	89	95	104
c105	3	20	7	30	34	41	83	56	65	69	76	85	90	96	105
c106	3	6	7	29	35	39	83	57	66	70	77	86	91	97	106
c107	3	4	27	30	34	43	83	57	67	71	78	87	92	98	107
c108	3	20	27	29	37	39	85	58	68	72	79	88	93	99	108
c109	3	4	27	31	37	42	85	58	68	72	80	89	94	100	109
c110	3	6	9	31	37	42	85	58	68	72	81	89	94	101	110
c111	3	6	27	31	37	44	87	59	69	73	81	90	95	102	111
c112	8	6	9	31	9	42	87	59	69	73	82	90	95	103	112
c113	8	6	9	7	9	46	88	60	70	74	82	91	96	104	113
c114	8	11	27	7	38	12	92	61	71	75	83	92	97	105	114
c115	8	4	27	32	38	12	92	61	71	75	84	92	97	106	115
c116	8	6	27	32	39	45	92	61	71	75	84	93	98	107	116
c117	9	19	7	32	24	45	93	62	72	76	84	94	99	108	117
c118	9	17	7	21	38	46	93	62	72	76	85	95	100	109	118
c119	9	19	15	32	24	28	95	63	73	77	86	96	101	110	119
c120	9	19	9	21	24	45	96	64	74	78	87	97	102	111	120
c121	9	20	28	21	39	28	96	64	74	79	88	98	103	112	121
c122	9	20	25	32	39	46	98	65	75	80	89	99	104	113	122
c123	9	21	28	32	39	46	100	66	76	81	90	100	105	114	123
c124	9	21	28	32	9	46	103	67	77	82	91	101	106	115	124
c125	9	21	28	7	9	12	103	67	77	82	92	101	107	116	125
c126	9	21	28	7	25	30	103	67	77	82	92	101	108	117	126
c127	9	21	29	19	24	28	104	68	78	83	92	102	109	118	127
c128	9	21	29	21	40	46	104	69	79	84	93	103	110	119	128
c129	9	21	29	33	37	47	105	70	80	85	94	104	111	120	129
c130	9	21	29	31	40	42	105	70	80	86	95	105	112	121	130
c131	9	21	29	33	40	47	107	71	81	87	96	106	113	122	131
c132	9	21	29	33	41	48	108	72	82	88	97	107	114	123	132
c133	9	21	30	34	41	49	108	72	82	89	98	108	115	124	133
c134	9	21	29	34	42	50	111	73	83	90	99	109	116	125	134
c135	10	21	30	35	42	51	112	74	84	91	100	110	117	126	135
