"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",0.629390998448671,-0.0397195521488271,0.2
"2","BNC2","CHAT",0.783675390206543,-0.0226016989127362,0.1
"3","BNC2","ETV1",0.969394240669175,-0.00315915765540792,0
"4","BNC2","ETV3",0.669815679984136,-0.035098378338435,0.2
"5","BNC2","GAL",0.741837365061641,-0.0271190414268802,0.1
"6","BNC2","GFRA1",0.185581190472484,0.108673640762658,0.7
"7","BNC2","NOS1",0.173563528473193,-0.111698682490225,0.8
"8","BNC2","RET",0.352279223324528,-0.076477134819856,0.5
"9","BNC2","TBX3",0.308160891838842,0.0837626209796863,0.5
"10","BNC2","VIP",0.61431212912887,0.0414747749573948,0.2
"11","BNC2","ZFHX4",0.0868300550531462,0.140295015274395,1.1
"12","CASZ1","CHAT",0.879462290308717,-0.0124862141174459,0.1
"13","CASZ1","ETV1",0.484399435013134,-0.0575269837894324,0.3
"14","CASZ1","ETV3",0.684123959542539,-0.0334893517051092,0.2
"15","CASZ1","GAL",0.555136576949273,-0.0485576570519664,0.3
"16","CASZ1","GFRA1",0.771533579464029,-0.0239051588715093,0.1
"17","CASZ1","NOS1",0.177476884482339,0.110697146284878,0.8
"18","CASZ1","RET",0.80377737289306,0.0204557938875133,0.1
"19","CASZ1","TBX3",0.307161618177627,0.0839352168005516,0.5
"20","CASZ1","VIP",0.193703076106331,0.106709637869094,0.7
"21","CHAT","GAL",0.378889717116087,0.0723581887277415,0.4
"22","CHAT","GFRA1",0.823931830277733,-0.018318012563553,0.1
"23","CHAT","NOS1",0.698012695840417,0.0319395392546092,0.2
"24","CHAT","RET",0.473638742205474,0.0589500264376953,0.3
"25","CHAT","VIP",0.0693844845908551,0.148686824236601,1.2
"26","ETV1","CHAT",0.355125570695355,0.0760275350675875,0.4
"27","ETV1","GAL",2.34600665899219e-09,0.463420331391407,8.6
"28","ETV1","GFRA1",0.51259396994583,-0.0538763713559019,0.3
"29","ETV1","NOS1",7.18370827130723e-05,0.318347277627342,4.1
"30","ETV1","RET",4.58412057827315e-06,0.364304706756231,5.3
"31","ETV1","VIP",1.44138821192024e-05,0.346042643196577,4.8
"32","ETV3","CHAT",0.685945060899919,0.0332854799269735,0.2
"33","ETV3","ETV1",0.757295783136189,-0.0254412503079247,0.1
"34","ETV3","GAL",0.559557399755798,-0.0480166859012064,0.3
"35","ETV3","GFRA1",0.483350163843981,-0.057664988912973,0.3
"36","ETV3","NOS1",0.454028436030518,-0.0615895576194537,0.3
"37","ETV3","RET",0.680507110856269,0.0338948623949409,0.2
"38","ETV3","VIP",0.435136705464781,-0.0641932430388845,0.4
"39","GAL","GFRA1",0.976643839943759,0.00241060209609073,0
"40","GAL","NOS1",0.125108138840312,0.125778877127625,0.9
"41","GAL","RET",3.87729977285807e-06,0.366882468670365,5.4
"42","GAL","VIP",1.06028800545722e-10,0.496266655765513,10
"43","NOS1","GFRA1",0.00199930802142231,0.250387492371887,2.7
"44","RET","GFRA1",0.3156589426923,0.0824790701116376,0.5
"45","RET","NOS1",0.00298592250522546,0.240868024917339,2.5
"46","TBX3","CHAT",0.78986501040937,0.0219393972051751,0.1
"47","TBX3","ETV1",7.14496848695961e-09,0.450703648626625,8.1
"48","TBX3","ETV3",0.58272311326035,0.0452145461685473,0.2
"49","TBX3","GAL",0.000337919009516087,0.288814977200845,3.5
"50","TBX3","GFRA1",0.551635409881184,-0.0489875704075896,0.3
"51","TBX3","NOS1",0.00758028046738335,0.217229497735442,2.1
"52","TBX3","RET",0.0189686312357044,0.191388819775505,1.7
"53","TBX3","VIP",0.104082596406545,0.133233551563255,1
"54","VIP","GFRA1",0.947891778918324,0.00538114697757858,0
"55","VIP","NOS1",0.255067267888274,-0.0935061813275685,0.6
"56","VIP","RET",0.0499729410661484,0.160353475952376,1.3
"57","ZFHX4","CASZ1",0.92765480101875,-0.00747588667280635,0
"58","ZFHX4","CHAT",0.914383439020535,-0.00885213332202224,0
"59","ZFHX4","ETV1",0.259258960797565,-0.0926895419404285,0.6
"60","ZFHX4","ETV3",0.840899328907009,-0.0165277617384581,0.1
"61","ZFHX4","GAL",0.774179476940342,-0.0236206190107742,0.1
"62","ZFHX4","GFRA1",0.758722548488306,0.0252869318438237,0.1
"63","ZFHX4","NOS1",0.872719525915241,0.0131904657141273,0.1
"64","ZFHX4","RET",0.440600931731304,-0.0634336915302744,0.4
"65","ZFHX4","TBX3",0.358400950598043,0.0755129432907547,0.4
"66","ZFHX4","VIP",0.748987535524063,-0.0263416475532223,0.1
