"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",1.30775693401081e-10,0.766978668592935,9.9
"2","BNC2","CHAT",0.430624377881808,0.281566775509661,0.4
"3","BNC2","ETV1",0.000783758068900923,-0.355450763713927,3.1
"4","BNC2","ETV3",0.0148591122164742,0.535956748476838,1.8
"5","BNC2","GAL",3.85228350931367e-05,-0.417393784185433,4.4
"6","BNC2","GFRA1",0.280666767206268,-0.119805986206312,0.6
"7","BNC2","NOS1",0.0268184672852678,-0.272567900483941,1.6
"8","BNC2","RET",0.000117621959818441,-0.432777285884522,3.9
"9","BNC2","TBX3",0.0753726765855612,-0.185295455751277,1.1
"10","BNC2","VIP",3.05966259626546e-05,-0.458867597534452,4.5
"11","BNC2","ZFHX4",0.0214610062588614,0.301474791496869,1.7
"12","CASZ1","CHAT",0.00354040093759132,0.884338385428421,2.5
"13","CASZ1","ETV1",0.151471786349686,-0.217371159545033,0.8
"14","CASZ1","ETV3",0.140229465399794,0.432207848706551,0.9
"15","CASZ1","GAL",0.689106424871688,-0.0592560271887959,0.2
"16","CASZ1","GFRA1",0.986817814479687,-0.0024228551575901,0
"17","CASZ1","NOS1",0.017449560588595,0.365052108581412,1.8
"18","CASZ1","RET",0.579302617063196,0.0848848895081368,0.2
"19","CASZ1","TBX3",0.0636414738091835,-0.275718837986968,1.2
"20","CASZ1","VIP",0.373319318750086,-0.135921534291938,0.4
"21","CHAT","GAL",0.120323489675941,-0.52363884891623,0.9
"22","CHAT","GFRA1",0.654434242943937,-0.173956394916156,0.2
"23","CHAT","NOS1",0.74865940185778,-0.135705203421302,0.1
"24","CHAT","RET",0.686176966055053,-0.157252035913205,0.2
"25","CHAT","VIP",0.651073794107561,-0.19066438584034,0.2
"26","ETV1","CHAT",0.1070161643649,-0.540135150914054,1
"27","ETV1","GAL",4.01125839546493e-23,0.780181614673345,22.4
"28","ETV1","GFRA1",0.00017555245507822,0.368399117806148,3.8
"29","ETV1","NOS1",1.67154777118326e-05,0.463789166410047,4.8
"30","ETV1","RET",1.11745337258437e-13,0.692257079774027,13
"31","ETV1","VIP",3.00241969845615e-14,0.676062542577881,13.5
"32","ETV3","CHAT",0.22726301231577,0.936955057790476,0.6
"33","ETV3","ETV1",0.495653077915674,0.1461305022939,0.3
"34","ETV3","GAL",0.903497721406452,-0.0267695411432303,0
"35","ETV3","GFRA1",0.744230668340804,0.068690788810284,0.1
"36","ETV3","NOS1",0.00214135060901796,0.674435433150857,2.7
"37","ETV3","RET",0.832817391769281,0.0490387257857854,0.1
"38","ETV3","VIP",0.370304663665703,-0.211675993115429,0.4
"39","GAL","GFRA1",0.00650270931623644,0.271783594040143,2.2
"40","GAL","NOS1",0.00876952755732692,0.293042547562039,2.1
"41","GAL","RET",2.93952599191075e-14,0.692325526903797,13.5
"42","GAL","VIP",4.31530862079315e-12,0.620891613456988,11.4
"43","NOS1","GFRA1",8.74416693452433e-05,0.426863281326632,4.1
"44","RET","GFRA1",0.00432397422718022,0.310153354602918,2.4
"45","RET","NOS1",0.0031329486919761,0.353195705113683,2.5
"46","TBX3","CHAT",0.325682778078398,-0.347160511645567,0.5
"47","TBX3","ETV1",2.43746310480712e-11,0.587030339483481,10.6
"48","TBX3","ETV3",0.871885690599588,-0.0356005766133753,0.1
"49","TBX3","GAL",2.71632541739406e-12,0.602214800216027,11.6
"50","TBX3","GFRA1",3.91449602830072e-06,0.433206500483862,5.4
"51","TBX3","NOS1",0.0264281858767766,0.252984089777608,1.6
"52","TBX3","RET",2.08624074645895e-06,0.48111888957719,5.7
"53","TBX3","VIP",4.51274023938304e-10,0.573399978176252,9.3
"54","VIP","GFRA1",0.000292557656137361,0.365442280754245,3.5
"55","VIP","NOS1",0.0197312634650591,0.274268990862586,1.7
"56","VIP","RET",8.14855027090032e-09,0.584500778139529,8.1
"57","ZFHX4","CASZ1",0.74208682244239,-0.0576748140510771,0.1
"58","ZFHX4","CHAT",0.294287422704215,0.516369548528453,0.5
"59","ZFHX4","ETV1",0.923584264969636,0.0123312372087465,0
"60","ZFHX4","ETV3",0.00175745105084041,0.668417929855745,2.8
"61","ZFHX4","GAL",0.638664458008203,-0.0608175022811419,0.2
"62","ZFHX4","GFRA1",8.73797339970305e-06,0.507067575923474,5.1
"63","ZFHX4","NOS1",0.0659114460260865,0.254501004200072,1.2
"64","ZFHX4","RET",0.245825104847804,0.156233692995511,0.6
"65","ZFHX4","TBX3",0.350726889501349,0.115801215534133,0.5
"66","ZFHX4","VIP",0.427206713506354,0.104418351956728,0.4
