,,,human_Branch AB_150_cluster,,,human_Branch AB_150_cluster_NZ,,,mice_Branch AB_150_cluster,,,mice_Branch AB_150_cluster_NZ,,,human_Branch AB_90_cluster,,,human_Branch AB_90_cluster_NZ,,,mice_Branch AB_90_cluster,,,mice_Branch AB_90_cluster_NZ,
gene1,gene2,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr
CASZ1,TBX3,,0.00114700167639653,-0.263013343510782,,0.0636414738091835,-0.275718837986968,,0.000307562412323487,-0.290703175142015,,0.0019506282657977,-0.293520798596124,,0.0101401228596077,-0.269736062944835,,0.0892658348404567,-0.315669015186483,,0.000355114379619161,-0.368281223525445,,0.000764865053842153,-0.387742421748499
CASZ1,VIP,,0.115838882204793,-0.128934677546389,,0.373319318750086,-0.135921534291938,,0.000383306945986728,-0.286266144387129,,0.000344388453064682,-0.341213023002446,,0.315289264315711,-0.107042221378629,,0.763036193445107,-0.0585122471899631,,0.00944260782509147,-0.272217783985945,,0.00264954388509335,-0.349119482447583
CHAT,GAL,,0.69688353319125,0.0320651147676348,,0.120323489675941,-0.52363884891623,,0.00320543957661722,-0.239146135665667,,0.262211217748125,-0.136838024881699,,0.489116667916315,0.0738457136444781,,0.895104757034104,0.0516047162646037,,0.0144717717122828,-0.257007914389323,,0.13586225372635,-0.216106241750264
CHAT,GFRA1,,0.714971283002207,-0.0300621955352594,,0.654434242943937,-0.173956394916156,,5.31979720415001E-10,-0.479593423936398,,0.235628985811976,-0.161079259649916,,0.226971365346059,-0.128623354993691,,0.993784803135569,0.00331479594265263,,3.52785764546488E-08,-0.541661382201009,,0.0206132124137376,-0.352022744960174
CHAT,NOS1,,0.759115414708692,-0.0252444550302463,,0.74865940185778,-0.135705203421302,,0.0543590746198798,-0.157426981630854,,0.630772219111222,0.0727752556966025,,0.663698805579703,-0.0464578704750455,,0.459312708358622,0.30713504135859,,0.0860357433573882,-0.181984554661946,,0.905444446630815,-0.0199337220500128
CHAT,RET,,0.604482588426167,0.0426290557566395,,0.686176966055053,-0.157252035913205,,0.609765910281082,0.0420076184099999,,0.00387303093091525,0.338603238082668,,0.31835376102697,0.10637038198732,,0.629444385727266,0.187284241882095,,0.473501318453092,0.0765154027719612,,0.0057868318440656,0.381167370275389
CHAT,VIP,,0.831426942400107,-0.0175261911375746,,0.651073794107561,-0.19066438584034,,0.0570736654756009,-0.155712189945442,,0.850093219925736,0.0228324686279312,,0.945494734805101,-0.00730841528276923,,0.7295610928806,0.146308617461664,,0.124626044790049,-0.163064835847132,,0.932693087721316,-0.0122535097253537
ETV1,CHAT,,0.918540339632441,0.00842081528650184,,0.1070161643649,-0.540135150914054,,0.50477828968925,-0.0548775520423474,,0.321781348948837,0.132407317213368,,0.834829943518621,-0.0222878173415046,,0.258059371390694,0.454362833761561,,0.763692213539622,-0.0321307533849239,,0.232458009994952,0.181624514187819
ETV1,GAL,,1.95114014170083E-29,0.759538663862705,,4.01125839546493E-23,0.780181614673345,,6.79058161238006E-34,0.794660275813558,,1.84814746233499E-30,0.816915129746533,,1.54903616149334E-12,0.659616673048796,,4.32492266355103E-14,0.788921168822533,,8.64305271379965E-23,0.817387900869937,,3.53823552391433E-22,0.840375469610592
ETV1,GFRA1,,0.00334402120299662,0.238113107079568,,0.00017555245507822,0.368399117806148,,0.00197449585635142,0.250678190716756,,0.0266703587688188,0.210383971729894,,0.00871435375420914,0.274986656530018,,0.00362983029059911,0.366922131499139,,0.00431255381335315,0.298166577830905,,0.00723391174968155,0.318357566217319
